crystallization_name,type,solute,solvent,anti_solvent,c_sat_ref_g_L,T_ref_C,dc_dT_g_L_K,sigma_target,MSZW_C,t_ind_s,k_g_m_s,g_order,delta_H_cryst_kJ_mol,polymorphs,seeded,target_L_um,notes
Paracetamol cooling (EtOH),Cooling,Paracetamol,Ethanol,,180.0,60,4.5,0.3,8.0,30.0,1.0e-8,1.5,-25.0,Yes (I & II),Yes,150,Common model compound; form I from ethanol
Aspirin cooling (EtOH),Cooling,Aspirin,Ethanol,,250.0,50,5.0,0.25,10.0,45.0,5.0e-9,1.4,-22.0,Yes (I & II),Yes,200,Well-studied; moderate growth rate
Glycine anti-solvent (Water/EtOH),Anti-solvent,Glycine,Water,Ethanol,250.0,25,0.5,0.5,5.0,5.0,2.0e-8,1.6,-15.0,Yes (α β γ),No,50,Polymorph-rich; α from aqueous ethanol
Sulfamerazine cooling (Acetonitrile),Cooling,Sulfamerazine,Acetonitrile,,15.0,50,0.4,0.35,12.0,120.0,3.0e-9,1.3,-20.0,Yes (I & II),Yes,100,Slow grower; wide MSZW
L-Glutamic acid pH-shift,Reactive,L-Glutamic acid,Water,HCl (aq),40.0,25,0.8,0.8,3.0,2.0,5.0e-8,2.0,-18.0,Yes (α & β),No,30,Fast nucleation; β meta-stable form common
Carbamazepine anti-solvent (MeOH/Water),Anti-solvent,Carbamazepine,Methanol,Water,120.0,25,1.2,0.4,6.0,15.0,8.0e-9,1.5,-28.0,Yes (I II III IV),Yes,80,Highly polymorphic; form III most stable
Ibuprofen cooling (EtOH),Cooling,Ibuprofen,Ethanol,,350.0,50,7.0,0.2,15.0,60.0,2.0e-9,1.2,-30.0,No,Yes,250,High solubility; easy to crystallize
BaSO4 reactive precipitation,Reactive,Barium sulfate,Water,,0.0024,25,0.0,50.0,0.0,0.001,1.0e-6,2.0,-10.0,No,No,1,Classic fast precipitation; mixing-dominated
Sodium chloride evaporative,Evaporative,NaCl,Water,,360.0,25,0.1,0.02,0.5,300.0,1.0e-7,1.0,-3.5,No,No,500,Low supersaturation; slow nucleation
API-X anti-solvent (DMSO/Water),Anti-solvent,API-X (model),DMSO,Water,85.0,25,0.6,0.6,4.0,8.0,1.5e-8,1.8,-24.0,Yes (A & B),Yes,60,Representative pharma API; moderate MSZW
Lovastatin cooling (Acetone),Cooling,Lovastatin,Acetone,,45.0,50,1.0,0.3,9.0,40.0,4.0e-9,1.4,-26.0,Yes,Yes,120,Pharma intermediate; moderate growth
Citric acid cooling (Water),Cooling,Citric acid,Water,,750.0,70,10.0,0.15,18.0,90.0,3.0e-9,1.3,-12.0,No,Yes,300,Very high solubility; low relative σ needed
